,x,y,weights
109,115353.51879999973,10060437.8056,1
110,115365.67349999957,10060380.4261,1
111,115423.98819999956,10060425.1326,1
112,115470.06319999974,10060379.3134,1
113,115493.36369999964,10060352.9824,1
114,115499.14630000014,10060272.1839,1
115,115499.6798,10060278.4998,1
116,115501.7890999997,10060260.6026,1
117,115506.6502,10060420.8743,1
118,115557.97800000012,10060294.5202,1
119,115559.58150000032,10060318.7315,1
120,115638.54559999984,10060334.4768,1
121,115668.75200000033,10060338.1439,1
122,115685.69330000039,10060311.2902,1
123,115741.40550000034,10060438.109,1
124,115838.31589999981,10060331.7304,1
125,115904.50879999995,10060254.3189,1
126,115920.41079999972,10060263.2577,1
127,115921.99629999977,10060255.8879,1
128,115928.9402,10060352.2061,1
129,112564.7961,10057955.7451,1
130,112576.47259999998,10057988.8999,1
131,112493.8563000001,10058080.0078,1
132,112702.114,10058080.9446,1
133,112698.40979999956,10058090.4213,1
134,112652.31180000026,10058098.8689,1
135,112521.95569999982,10058104.7315,1
136,112454.66089999955,10058113.1909,1
137,112688.8854,10058115.6923,1
138,112459.97449999955,10058138.9801,1
139,112429.77329999954,10058146.3661,1
140,112646.5103000002,10058148.3508,1
141,112436.13410000037,10058149.5208,1
142,112665.0603,10058153.6041,1
143,112449.38460000046,10058154.2507,1
144,112414.41860000044,10058169.5349,1
145,112454.70490000024,10058192.1464,1
146,112393.7648,10058192.7067,1
147,112379.4594,10058196.9257,1
148,112659.78639999963,10058198.8748,1
149,112384.76290000044,10058204.8183,1
150,112403.31329999957,10058210.598,1
151,112392.18680000026,10058213.7624,1
152,112405.4523,10058245.3372,1
153,112602.9375,10057933.09,1
154,112859.3964999998,10057896.6283,1
155,112668.19060000032,10058065.1724,1
156,112556.1174999997,10059483.7991,1
157,112519.5399000002,10059460.1333,1
158,112385.48400000017,10059482.8436,1
159,112364.24390000012,10059406.5322,1
160,112368.45380000025,10059354.9456,1
161,112394.40419999976,10059327.5596,1
162,112415.0549999997,10059299.6503,1
163,112494.02660000045,10059324.3447,1
164,112521.5263,10059225.8981,1
165,112459.5219,10059218.5642,1
166,112420.29920000024,10059202.7954,1
167,112384.25650000013,10059188.0775,1
168,112347.7304999996,10059255.4735,1
169,112339.25069999974,10059253.3729,1
170,112691.41179999989,10058841.553,1
171,112412.6321,10058763.8075,1
172,112447.1387,10058873.7993,1
173,112803.84020000044,10058994.6626,1
174,112743.4046,10058949.9555,1
175,112456.83229999989,10059148.0322,1
176,115073.8060999997,10061480.4119,1
177,115103.41530000046,10061368.8075,1
178,115135.34300000034,10062494.1327,1
179,115139.04800000042,10062486.7615,1
180,115157.05420000013,10062469.3812,1
181,115167.05790000036,10062360.9465,1
